# s                      t_skin                      t_blade                      w_cap                      chord                      t_cap
0.000000000000000000e+00 3.200000000000000067e-02 5.379999999999999893e+00 1.120000000000000107e+00 5.379999999999999893e+00 1.600000000000000033e-02
2.015200000000000102e+00 3.200000000000000067e-02 5.379069767846607952e+00 1.120000000000000107e+00 5.379999999999999893e+00 1.600000000000000033e-02
3.742379999999999818e+00 3.200000000000000067e-02 5.273367243458702447e+00 1.120000000000000107e+00 5.379999999999999893e+00 1.605449362688296522e-02
5.469400000000000261e+00 3.200000000000000067e-02 5.116050295551028526e+00 1.120000000000000107e+00 5.380683900325027302e+00 1.841777777777777944e-02
7.196449999999999569e+00 3.110920138888888936e-02 4.856193015583217587e+00 1.116163494637398390e+00 5.413344697231833536e+00 2.394503472222221999e-02
8.923500000000000654e+00 2.865631517960602268e-02 4.566402087066562032e+00 1.101332563002116016e+00 5.490683812500000371e+00 3.179513325608342850e-02
1.065029999999999966e+01 2.543895833333333426e-02 4.248737532430110875e+00 1.083233364868380066e+00 5.603149060773480628e+00 4.081155092592592126e-02
1.237599999999999945e+01 2.204166666666667121e-02 3.914926164618834470e+00 1.065276756769599986e+00 5.733148430493273828e+00 4.998703703703703816e-02
1.410420000000000051e+01 1.891170336037079763e-02 3.578342038532436931e+00 1.047294135157320172e+00 5.868338963627304672e+00 5.833552723059096806e-02
1.554420000000000002e+01 1.724398148148148513e-02 3.319536752968065940e+00 1.032310351381320102e+00 5.970231332116788359e+00 6.406805555555554477e-02
1.769810000000000016e+01 1.464983796296296173e-02 2.979545004941758002e+00 1.009898148690260067e+00 6.093501318681318502e+00 6.905011574074074177e-02
1.943169999999999931e+01 1.234310544611819452e-02 2.751423902346571637e+00 9.918593378888200807e-01 6.160661490289338182e+00 7.085689455388180513e-02
2.115930000000000177e+01 1.034270833333333223e-02 2.561359261025604628e+00 9.738829595197801003e-01 6.197774419342053420e+00 7.280583333333333351e-02
2.288629999999999853e+01 8.542708333333336179e-03 2.409858585472441472e+00 9.559128243939800651e-01 6.197983464566929612e+00 7.440583333333333771e-02
2.461329999999999885e+01 6.994855156431055085e-03 2.271625386528919766e+00 9.379426892681801409e-01 6.181098160343593939e+00 7.600514484356893363e-02
2.634080000000000155e+01 5.697195828505213604e-03 2.149376262106943436e+00 9.199673514396800034e-01 6.140414731567645390e+00 7.755420625724218642e-02
2.806830000000000069e+01 4.897083333333333149e-03 2.039677440870248049e+00 9.019920136111800879e-01 6.077665743801652809e+00 7.875437499999998758e-02
2.979530000000000101e+01 4.348541666666667221e-03 1.935386560217745355e+00 8.840218784853800527e-01 6.005476077384923173e+00 7.995437499999999420e-02
3.152289999999999992e+01 4.200000000000000608e-03 1.844440864930753987e+00 8.660455001163400723e-01 5.909587938625750603e+00 8.090285052143685041e-02
